,name,city,country,iata_code,latitude,longitude,links_count
2813,Orange Airport,Orange,Australia,OAG,-33.3817,149.133,2
2814,Grafton Airport,Grafton,Australia,GFN,-29.7594,153.03,2
2815,Hamadan Airport,Hamadan,Iran,HDM,34.869167,48.5525,2
2816,Tekirdağ Çorlu Airport,Çorlu,Turkey,TEQ,41.13825,27.919094,2
2817,Sinop Airport,Sinop,Turkey,SIC,42.0158,35.0664,2
2818,Canakkale Airport,Canakkale,Turkey,CKZ,40.137722,26.426777,2
2819,Anadolu Airport,Eskissehir,Turkey,AOE,39.809858,30.519378,2
2820,Walaha Airport,Walaha,Vanuatu,WLH,-15.412,167.691,2
2821,Tanjung Manis Airport,Tanjung Manis,Malaysia,TGC,2.17784,111.202,2
2822,Togiak Airport,Togiak Village,United States,TOG,59.0528,-160.397,2
2823,Port Heiden Airport,Port Heiden,United States,PTH,56.9591,-158.633,2
2824,King Cove Airport,King Cove,United States,KVC,55.1163,-162.266,2
2825,Igiugig Airport,Igiugig,United States,IGG,59.324,-155.902,2
2826,Burgos Airport,Burgos,Spain,RGS,42.357628,-3.620764,2
2827,Leon Airport,Leon,Spain,LEN,42.589,-5.655556,2
2828,Nueva Loja Airport,Lago Agrio,Ecuador,LGQ,0.093056,-76.8675,2
2829,Parsabade Moghan Airport,Parsabad,Iran,PFQ,39.603606,47.8815,2
2830,Ilam Airport,Ilam,Iran,IIL,33.586606,46.404842,2
2831,Governador Valadares Airport,Governador Valadares,Brazil,GVR,-18.8952,-41.9822,2
